episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,0.0,-0.002875084523111582,298.02556737263996,,,,,,,,,6.821726202964783,0.0,0.1899917960600304,,0.5195014514029026,-0.21727372519671917,0.38936787843704224,0.6704705928762754,0.17060546825329462,0.9244140659769376,-0.014452475976819793,0.0028288674851258597,0.009163696318864822,0.010000000000000009,0.009500000000000008,0.18288318067789078,150.0,144.0,,,,,,,,,,,,,,,,,,0.0050816316094521126,0.059277343874176346,0.10542673524469137,0.00014913286732583705,0.005438614791880052,0.9261187281287931
6,28,28,0.0,-0.004331818543765361,239.18463843209403,,,,,,,,,7.8909883584295,0.0,0.2977503844935357,,0.18957829156092235,-0.1752769047660487,0.2115473353437015,0.2079313253717763,0.2261402862412589,0.9206806804452624,-0.00588760603672459,0.01215088739991188,0.019656686910561154,0.009500000000000008,0.008876772716853512,0.05131455258067165,150.0,108.28571428571429,,,,,,,,,,,,,,,,,,0.005949731117912701,0.0745546046112265,0.10550495928951673,0.0005729557337222754,0.00941352782371853,0.8447653872423055
8,24,24,0.0,-0.002349496353417635,243.4385528564453,,,,,,,,,8.074090878168741,0.0,0.3876412847018192,,0.4712194489936034,-0.1872713981817166,0.38188979278008145,0.7270966420571009,0.14791666467984518,0.9276692743102709,-0.010038732512233159,0.0008152555674314499,0.009891107678413391,0.008876772716853507,0.008432934081010836,0.23069564501444498,150.0,146.66666666666666,,,,,,,,,,,,,,,,,,0.004013503455401708,0.04827473980064193,0.10561045041928689,0.0011440260714152828,0.00759958999697119,0.7823530460000719
10,24,24,0.0,-0.0037612245262910924,286.29640007019043,,,,,,,,,6.514380663633347,0.0,0.47744904925408177,,0.23465323634445667,-0.27151077054440975,0.4100838688512643,0.6638957212368647,0.40810546775658924,0.9645833373069763,-0.0006502048581751296,0.009138406564791998,0.02175577109058698,0.008432934081010838,0.008011287376960293,0.06455672726345558,150.0,115.33333333333333,,,,,,,,,,,,,,,,,,0.003613230558888366,0.03808593765522043,0.1057276027277112,0.0017775218633081142,0.006319194488848249,0.7245518079092741
15,28,28,0.0,-0.0016335175771798407,245.46610859462194,,,,,,,,,8.19631860085896,0.0,0.5876895921408528,,0.3612485943096025,-0.24293975212744304,0.4173221332686288,0.6986747533082962,0.16593811128820693,0.8580443071467536,-0.010054884029419295,0.003139244658606393,0.01368770535503115,0.008011287376960297,0.007610723008112278,0.16242429161710398,150.0,112.42857142857143,,,,,,,,,,,,,,,,,,0.004766044506270971,0.052745106896119456,0.10587854497134686,0.002592713913015489,0.013808814010449819,0.6593214760389116
17,24,24,0.0,0.0026828936922053495,293.0800196329753,,,,,,,,,7.485075543324153,0.0,0.6772284434593865,,0.22267330965648094,-0.28405028643707436,0.4192095200220744,0.570377121369044,0.4354817693432172,0.9613606805602709,-2.9476211807377695e-05,0.009789588550726572,0.02817506218949954,0.007610723008112275,0.005589789556142189,0.05341384645241002,150.0,100.66666666666667,,,,,,,,,,,,,,,,,,0.005412695754785091,0.06389973995586236,0.10605169801662366,0.003526474174577743,0.007569068635348231,0.610609966817155
20,28,28,0.0,-0.008418654091656208,150.69650159563338,,,,,,,,,7.31877555165972,0.0,0.7779555965010551,,0.3994015934211867,-0.18617951178124972,0.3403870803969247,0.38605760995830807,0.033943968159811835,0.9079096743038723,-0.01415550256414073,0.002374754420348576,0.006505048700741359,0.00558978955614219,0.005310300078335079,0.18965010717511177,150.0,145.85714285714286,,,,,,,,,,,,,,,,,,0.00561066172667779,0.0707695119615112,0.10624242228056703,0.0045532032880666,0.01074455036515636,0.5600082750118144
23,28,28,0.0,0.014489173889160156,241.86533628191268,,,,,,,,,10.14034937960761,0.0,0.8738107392731147,,0.3386126293667725,-0.252333384805492,0.4070059486797878,0.44228596506374224,0.14378719883305685,0.8724423391478402,-0.01710675553684788,0.0029339795666081564,0.010940131332193102,0.005310300078335079,0.005044785074418325,0.19600824559373514,150.0,118.71428571428571,,,,,,,,,,,,,,,,,,0.006594746223916965,0.07724144362977572,0.10645671960498605,0.005704694277872997,0.010222906113735266,0.5156572297210595
25,24,24,0.0,-0.003886898707908889,184.51838811238608,,,,,,,,,7.7104953825473785,0.0,0.9627623523398503,,0.21729399263858795,-0.22671360025803247,0.345180278023084,0.6174164687593778,0.30299479017655057,0.9501953149835268,-0.004906528799134928,0.007301632935802142,0.015027306973934174,0.005044785074418328,0.004792545820697409,0.11151164304465055,150.0,130.66666666666666,,,,,,,,,,,,,,,,,,0.006636977430995709,0.08990885425979893,0.10665842952827613,0.006786442846835901,0.009763403194180379,0.4775598177396851
27,24,24,0.0,-0.0020482461841311306,143.70681762695312,,,,,,,,,8.629907389481863,0.0,0.9951329353170166,,0.3007237358639638,-0.2480414199332396,0.43999945869048435,0.664475200076898,0.22102864334980646,0.9462890649835268,-0.012284038957053175,0.0024311859160661697,0.012666985392570496,0.004792545820697409,0.004552918529662538,0.19366626193126044,150.0,142.5,,,,,,,,,,,,,,,,,,0.01144989019909796,0.13841145834885538,0.10686616164942582,0.007898323237895966,0.01223714017154028,0.44227709101049567
